foodname,foodcategory,city,materials,description,hazirlama_suresi_dk,pisirme_suresi_dk,toplam_sure_dk,porsiyon_sayisi,zorluk,vejetaryen,vegan,etiketler,gluten,pisirme_yontemi
bibimbap,Kore Mutfağı,Seoul,"pirinç, sebzeler, sığır eti, yumurta, acı biber ezmesi","Haşlanmış pirinç üzerine sotelenmiş sebzeler, ince dilimlenmiş sığır eti ve yumurta yerleştirilir. Acı biber ezmesi eklenir. Tüm malzemeler karıştırılarak servis edilir. Geleneksel Kore sunumuyla sıcak olarak sunulur.",21,20,41,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
bulgogi,Kore Mutfağı,Seoul,"sığır eti, soya sosu, şeker, sarımsak, susam yağı","İnce dilimlenmiş sığır eti, soya sosu, şeker, sarımsak ve susam yağı ile marine edilir. Kısa süreli ızgarada veya tavada hızlıca pişirilir. Etin lezzeti yoğunlaşır. Sıcak olarak, yanında pirinçle servis edilir.",19,20,39,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tava
japchae,Kore Mutfağı,Seoul,"cam erişte, sığır eti, sebzeler, soya sosu","Cam erişte haşlanır ve süzülür. İnce doğranmış sığır eti ve sebzeler, soya sosu ile sotelenir. Erişte ve diğer malzemeler karıştırılır. Taze ve hafif olarak servis edilir.",18,20,38,4.0,Orta,Hayır,Hayır,orta,Glütenli,Tencere
tteokbokki,Kore Mutfağı,Seoul,"pirinç kekleri, acı biber ezmesi, balık kekleri, yeşil soğan","Pirinç kekleri, acı biber ezmesi sosunda pişirilir. Balık kekleri ve ince doğranmış yeşil soğan eklenir. Sos yoğunlaşana kadar pişirilir. Sokak lezzeti olarak sıcak servis edilir.",27,20,47,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
pierogi,Polonya Mutfağı,Krakow,"un, patates, peynir, soğan, tereyağı","Hamur, un ve su ile hazırlanır, küçük kesitler haline getirilir. Patates ve peynir dolgusuyla doldurulur. Haşlanır ve ardından tereyağında kızartılır. Sıcak olarak, ekşi krema ile servis edilir.",34,20,54,4.0,Zor,Evet,Hayır,"zor, vejetaryen",Glütenli,Tencere
bigos,Polonya Mutfağı,Warsaw,"ekşi lahana, et, mantarlar, domatesler","Lahana, et, mantar ve domates uzun süre kısık ateşte pişirilir. Tüm malzemeler iyice karışarak yoğun bir güveç oluşturur. Baharatlarla tatlandırılır. Sıcak olarak servis edilir.",25,20,45,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
kielbasa,Polonya Mutfağı,Krakow,"sosis, domuz eti, sarımsak, baharatlar","Domuz eti, sarımsak ve baharatlarla hazırlanan sosis, şekil verildikten sonra ızgarada pişirilir. Dışı kızarana kadar yüksek ateşte tutulur. Dilimlenip sıcak olarak servis edilir. Yanında hardal veya ekmekle sunulur.",25,20,45,4.0,Zor,Hayır,Hayır,zor,Glütensiz,Izgara
placki ziemniaczane,Polonya Mutfağı,Warsaw,"patates, yumurta, un, soğan","Rendelenmiş patates, yumurta, un ve ince doğranmış soğan karıştırılır. Karışımdan ince krep benzeri yassı kekler oluşturulur. Kızgın yağda her iki tarafı da altın rengini alana kadar kızartılır. Sıcak olarak yoğurt veya sosla servis edilir.",21,20,41,6.0,Zor,Evet,Hayır,"zor, kalabalık aileye uygun, vejetaryen",Glütenli,Tava
schnitzel,Alman Mutfağı,Berlin,"dana veya domuz eti, ekmek kırıntıları, yumurta, un","Dana veya domuz eti ince dilimlenir, dövülerek yassılaştırılır. Önce una, sonra çırpılmış yumurtaya ve son olarak ekmek kırıntılarına bulanır. Kızgın yağda altın rengini alana kadar kızartılır. Limon dilimleri ile sıcak olarak servis edilir.",21,20,41,4.0,Zor,Hayır,Hayır,zor,Glütenli,Tava
bratwurst,Alman Mutfağı,Berlin,"sosis, domuz eti, baharatlar","Baharatlı domuz eti sosisleri, ızgarada veya tavada pişirilir. Dışı kızarıp içi sulu kalır. Hafifçe dilimlenip sıcak olarak servis edilir. Yanında hardal ve ekmekle sunulur.",30,20,50,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun, az malzemeli",Glütensiz,Tava
sauerkraut,Alman Mutfağı,Berlin,"lahana, tuz","Lahana ince ince doğranır ve tuzla ovularak fermente olmaya bırakılır. Fermente süreci tamamlandığında, ekşi ve çıtır bir garnitür elde edilir. Soğuk olarak sosis veya et yemeklerinin yanında servis edilir.",22,20,42,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan, az malzemeli",Glütensiz,Tencere
pretzel,Alman Mutfağı,Munich,"un, su, maya, tuz","Mayalı hamur yoğrulur, şekil verilir ve pretzel formuna sokulur. Üzerine tuz serpilir ve fırında pişirilir. Dışı çıtır, içi yumuşak olarak elde edilir. Sıcak veya oda sıcaklığında servis edilir.",20,20,40,4.0,Orta,Evet,Evet,"orta, vegan",Glütenli,Fırın
wiener schnitzel,Avusturya Mutfağı,Vienna,"dana eti, ekmek kırıntıları, yumurta, un, limon","Dana eti ince dilimlenir, dövülerek inceltilir. Önce una, sonra yumurtaya ve son olarak ekmek kırıntılarına bulanır. Kızgın yağda kızarana kadar pişirilir. Limon dilimleri eşliğinde sıcak olarak servis edilir.",24,20,44,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütenli,Tencere
goulash,Macar Mutfağı,Budapest,"dana eti, paprika, soğanlar, domatesler","Dana eti, paprika, soğan ve domates ile geniş bir tencerede uzun süre pişirilir. Et yumuşadığında yoğun bir sos oluşur. Baharatlarla tatlandırılır. Sıcak olarak pilav veya ekmekle servis edilir.",19,20,39,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
chicken paprikash,Macar Mutfağı,Budapest,"tavuk, paprika, krema, soğan","Tavuk parçaları, soğan ve paprika ile kavrulur. Üzerine krema eklenir ve kısık ateşte pişirilir. Sos koyulaştıktan sonra sıcak olarak servis edilir. Yanında erişte önerilir.",15,20,35,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
dobos torte,Macar Mutfağı – Tatlı,Budapest,"sünger kek, çikolatalı tereyağı kreması, karamel",İnce katlar halinde sünger kek dilimleri hazırlanır. Aralarına yoğun çikolatalı krema sürülür. Üstüne ince karamel tabakası dökülerek tamamlanır. Dilimlenip soğuk olarak servis edilir.,25,25,50,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı, az malzemeli",Glütensiz,Fırın
sacher torte,Avusturya Mutfağı – Tatlı,Vienna,"çikolatalı kek, kayısı reçeli, çikolata kaplaması","Zengin çikolatalı kek dilimleri hazırlanır, aralarına kayısı reçeli sürülür. Üzerine çikolata kaplaması yapılır. Soğuduktan sonra dilimlenip servis edilir. Geleneksel Avusturya tatlısı olarak sunulur.",21,25,46,4.0,Orta,Evet,Evet,"orta, vegan, tatlı, az malzemeli",Glütensiz,Fırın
moussaka,Yunan Mutfağı,Athens,"patlıcan, kıyma, patatesler, beşamel","Patlıcan dilimleri kızartılır veya fırında pişirilir. Kıyma ve baharatlarla hazırlanan et sosu, kızarmış patates ile katmanlanır. Üzerine beşamel sos dökülüp fırında pişirilir. Sıcak olarak dilimlenip servis edilir.",24,20,44,4.0,Zor,Hayır,Hayır,zor,Glütensiz,Fırın
souvlaki,Yunan Mutfağı – Sokak Lezzeti,Athens,"et (kuzu/domuz), pita, tzatziki, sebzeler",Küçük et parçaları marine edilip şişlere dizilir ve ızgarada pişirilir. Taze pita ekmeği ile birlikte servis edilir. Tzatziki sos ve sebzelerle tamamlanır. Sıcak olarak sunulur.,33,20,53,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Izgara
gyro,Yunan Mutfağı – Sokak Lezzeti,Athens,"et, pita, domatesler, soğanlar, tzatziki","Marine edilmiş et, döner şeklinde pişirilir ve ince dilimler halinde kesilir. Pita ekmeği içine yerleştirilir. Domates, soğan ve tzatziki sos eklenir. Hızlıca rulo yapılarak servis edilir.",19,20,39,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
spanakopita,Yunan Mutfağı,Athens,"filo hamuru, ıspanak, feta, soğan, otlar","İnce filo hamur açılır, ıspanak, feta, soğan ve otlarla doldurulur. Rulo şeklinde sarılır ve dilimlenir. Fırında hafifçe kızarana kadar pişirilir. Sıcak olarak servis edilir.",17,20,37,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Fırın
baklava (yunan),Yunan Mutfağı – Tatlı,Athens,"filo, kuruyemiş, bal şerbeti","İnce filo hamur kat kat dizilir, arasına ceviz veya fındık serpilir. Üzerine bal veya şerbet dökülür. Fırında hafifçe ısıtıldıktan sonra dilimlenir. Tatlı olarak soğuk servis edilir.",30,25,55,4.0,Orta,Hayır,Hayır,"orta, tatlı, az malzemeli",Glütensiz,Fırın
dolmades,Yunan Mutfağı,Athens,"üzüm yaprakları, pirinç, otlar, isteğe bağlı et","Üzüm yaprakları, pirinç ve taze otlar ile doldurulur. İsteğe bağlı olarak kıyma eklenir. Yapraklar sıkıca sarılıp, tencereye dizilir. Limon sosu ile pişirildikten sonra sıcak olarak servis edilir.",29,20,49,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
pastitsio,Yunan Mutfağı,Athens,"makarna, kıyma, beşamel, domates sosu","Kat kat makarna, baharatlı kıyma ve beşamel sos fırında pişirilir. Domates sosu ile tatlandırılır. Fırından çıkar çıkmaz dilimlenip sıcak servis edilir. Geleneksel Yunan yemeği olarak sunulur.",25,20,45,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Fırın
Paella,İspanyol Mutfağı – Ana Yemek,Valensiya,"pirinç, zeytinyağı, tavuk, karides, bezelye, safran, kırmızı biber","Zeytinyağı ile tavuklar kızartılır. Karides eklenir ve sotelenir. Pirinç, safran, bezelye ve biber eklenerek karıştırılır. Üzeri kapatılıp kısık ateşte pişirilir.",37,30,67,4.0,Orta,Hayır,Hayır,"uzun süreli, orta",Glütensiz,Tava
Tiramisu,İtalyan Mutfağı – Tatlı,Treviso,"kedi dili bisküvi, mascarpone peyniri, yumurta, şeker, kahve, kakao","Yumurta ve şeker çırpılır, mascarpone eklenir. Bisküviler kahveye batırılır. Krema ve bisküviler kat kat dizilir. Buzdolabında bekletilip kakao serpilerek servis edilir.",23,25,48,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
Tom Yum Çorbası,Tayland Mutfağı – Çorba,Bangkok,"karides, limon otu, lime suyu, acı biber, mantar, balık sosu","Su kaynatılır, limon otu ve biber eklenir. Karides ve mantar ilave edilip pişirilir. Lime suyu ve balık sosu ile tatlandırılır. Sıcak servis edilir.",17,15,32,4.0,Orta,Hayır,Hayır,"orta, çorba",Glütensiz,Tencere
Mole Poblano,Meksika Mutfağı – Ana Yemek,Puebla,"tavuk, acı biber, çikolata, domates, soğan, sarımsak, baharatlar","Biber ve baharatlar kavrulur. Domates, soğan ve sarımsakla sos hazırlanır. Eritilmiş çikolata eklenir. Tavuk bu sosla pişirilir ve pilav ile sunulur.",26,30,56,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
Baklava,Türk Mutfağı – Tatlı,Gaziantep,"yufka, ceviz, şeker, su, limon, tereyağı","Yufkalar ince açılır, aralarına ceviz serpilir. Kat kat dizilir, kesilir ve tereyağı dökülür. Fırında pişirilir. Şeker, su ve limonla hazırlanan şerbet dökülür.",27,25,52,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
Sushi,Japon Mutfağı – Ana Yemek,Tokyo,"suşi pirinci, nori yosunu, çiğ balık, pirinç sirkesi, wasabi","Pirinç haşlanır ve sirke ile karıştırılır. Nori yosununun üzerine pirinç yayılır. Üzerine çiğ balık konur, rulo yapılır ve dilimlenerek servis edilir.",35,30,65,6.0,Orta,Hayır,Hayır,"uzun süreli, orta, kalabalık aileye uygun",Glütenli,Tencere
Köri Tavuk,Hint Mutfağı – Ana Yemek,Delhi,"tavuk, köri baharatı, yoğurt, domates, soğan, sarımsak, zencefil","Soğan, sarımsak ve zencefil kavrulur. Tavuk eklenip pişirilir. Domates ve yoğurtla karışım yapılır, köri baharatı eklenir ve kısık ateşte pişirilir.",38,30,68,6.0,Orta,Hayır,Hayır,"uzun süreli, orta, kalabalık aileye uygun",Glütensiz,Tencere
Falafel,Lübnan Mutfağı – Ara Sıcak,Beyrut,"nohut, soğan, sarımsak, kimyon, kişniş, maydanoz, un",Nohut haşlanıp ezilir. Diğer malzemelerle yoğrulup şekil verilir. Kızgın yağda altın rengi alana kadar kızartılır ve sıcak servis edilir.,19,20,39,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütenli,Tava
Sauerbraten,Alman Mutfağı – Ana Yemek,Köln,"dana eti, sirke, soğan, havuç, karabiber, defne yaprağı",Et günlerce sirke ve baharatlarla marine edilir. Ardından sebzelerle birlikte kızartılır ve fırında ağır ağır pişirilir. Patates püresiyle servis edilir.,35,30,65,4.0,Zor,Hayır,Hayır,"uzun süreli, zor",Glütensiz,Fırın
Kimchi,Kore Mutfağı – Turşu,Seul,"lahana, tuz, sarımsak, zencefil, kırmızı biber, balık sosu",Lahana tuzla ovulup bekletilir. Baharatlı karışım hazırlanır ve lahana ile karıştırılır. Kavanozlara konup fermente olması için bekletilir.,22,20,42,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
Feijoada,Brezilya Mutfağı – Ana Yemek,Rio de Janeiro,"siyah fasulye, sosis, et, soğan, sarımsak, defne yaprağı","Fasulye haşlanır, et ve sosisle birlikte uzun süre pişirilir. Soğan ve sarımsak kavrulup karışıma eklenir. Yanında pilavla servis edilir.",32,30,62,4.0,Zor,Hayır,Hayır,"uzun süreli, zor",Glütensiz,Tencere
Borscht,Rus Mutfağı – Çorba,Moskova,"pancar, lahana, havuç, soğan, et suyu, yoğurt",Sebzeler rendelenip et suyunda pişirilir. Pancar çorbanın rengini verir. Üzerine yoğurt eklenerek sıcak veya soğuk servis edilir.,20,15,35,4.0,Orta,Hayır,Hayır,"orta, çorba",Glütensiz,Tencere
Tajine,Fas Mutfağı – Ana Yemek,Marakeş,"kuzu eti, kuru kayısı, nohut, soğan, zerdeçal, tarçın",Malzemeler özel toprak kapta yavaş yavaş pişirilir. Baharatlar ve meyvelerle tatlı-tuzlu bir lezzet oluşur. Ekmekle servis edilir.,40,30,70,4.0,Orta,Hayır,Hayır,"uzun süreli, orta",Glütensiz,Tencere
Pho,Vietnam Mutfağı – Çorba,Hanoi,"pirinç eriştesi, et suyu, dana eti, yeşillik, soğan","Et suyu uzun süre kaynatılır. Erişte haşlanır, dilimlenmiş et ve sebzelerle kaseye alınır. Üzerine kaynar et suyu dökülür.",20,15,35,4.0,Orta,Hayır,Hayır,"orta, çorba",Glütenli,Tencere
Arepa,Venezuela Mutfağı – Kahvaltı,Caracas,"mısır unu, su, tuz, peynir, tereyağı","Mısır unu, su ve tuzla yoğrularak hamur yapılır. Yuvarlak şekil verilip tavada pişirilir. Peynirle birlikte sıcak servis edilir.",11,5,16,6.0,Kolay,Evet,Hayır,"hızlı, kolay, kalabalık aileye uygun, vejetaryen",Glütenli,Tava
Gözleme,Türk Mutfağı – Hamur İşi,Ankara,"un, su, tuz, ıspanak, peynir, sıvı yağ",Hamur yoğrulup açılır. İç harç konulup kapatılır. Sacda veya tavada iki yüzü de pişirilir. Sıcak servis edilir.,15,20,35,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütenli,Tava
Ratatouille,Fransız Mutfağı – Sebze Yemeği,Nice,"kabak, patlıcan, domates, biber, zeytinyağı, sarımsak",Sebzeler ince dilimlenir. Tepsiye dizilip zeytinyağı ve sarımsakla tatlandırılır. Fırında yumuşayana kadar pişirilir.,18,20,38,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütensiz,Fırın
Pierogi,Polonya Mutfağı – Hamur İşi,Varşova,"un, su, tuz, patates, peynir, soğan",Hamur yoğrulup açılır. İç harç konulup kapatılır. Kaynar suda haşlanır ve ardından kızartılarak servis edilir.,30,20,50,4.0,Zor,Evet,Hayır,"zor, vejetaryen",Glütenli,Tencere
Pad Thai,Tayland Mutfağı – Ana Yemek,Bangkok,"pirinç eriştesi, yumurta, karides, yer fıstığı, lime, soya sosu","Erişte haşlanır, tavada yumurta ve karidesle sotelenir. Soslar eklenip karıştırılır. Üzeri fıstık ve lime ile süslenir.",35,30,65,4.0,Orta,Evet,Hayır,"uzun süreli, orta, vejetaryen",Glütenli,Tencere
Shepherd's Pie,İngiliz Mutfağı – Ana Yemek,Londra,"kıyma, soğan, havuç, bezelye, patates püresi","Sebzeler ve kıyma kavrulur, fırın kabına alınır. Üzeri patates püresiyle kaplanır ve fırında kızarana kadar pişirilir.",28,30,58,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Fırın
Ceviche,Peru Mutfağı – Meze,Lima,"beyaz balık, lime suyu, soğan, acı biber, kişniş","Balık lime suyunda marine edilir. Soğan, kişniş ve acı biberle karıştırılarak soğuk meze olarak servis edilir.",13,5,18,2.0,Kolay,Hayır,Hayır,"hızlı, kolay, tek/çift kişilik, meze",Glütensiz,Tencere
Churros,İspanyol Mutfağı – Tatlı,Madrid,"un, su, tereyağı, yumurta, şeker, tarçın","Hamur hazırlanıp kızgın yağda kızartılır. Şeker ve tarçına bulanarak sıcak servis edilir, çikolata sosla sunulabilir.",15,25,40,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
Bruschetta,İtalyan Mutfağı – Meze,Roma,"ekmek, domates, fesleğen, sarımsak, zeytinyağı","Ekmek dilimleri kızartılır. Üzerine domates, fesleğen ve sarımsak karışımı eklenir. Zeytinyağı gezdirilerek servis edilir.",11,5,16,2.0,Kolay,Evet,Evet,"hızlı, kolay, tek/çift kişilik, vegan, meze",Glütenli,Tava
Miso Çorbası,Japon Mutfağı – Çorba,Osaka,"miso ezmesi, deniz yosunu, tofu, yeşil soğan, su","Su kaynatılır, miso ezmesi çözülür. Tofu, yosun ve yeşil soğan eklenip birkaç dakika pişirilerek sıcak servis edilir.",15,15,30,4.0,Orta,Evet,Evet,"orta, vegan, çorba",Glütenli,Tencere
Döner,Türk Mutfağı – Ana Yemek,Bursa,"et, yoğurt, domates, biber, lavaş, tereyağı","Etler şişe dizilip döner ocağında pişirilir. Lavaşa sarılır, yoğurt ve domates sosla birlikte servis edilir.",21,30,51,4.0,Orta,Hayır,Hayır,orta,Glütenli,Tencere
Empanada,Arjantin Mutfağı – Hamur İşi,Buenos Aires,"hamur, kıyma, soğan, yumurta, baharatlar","Hamur açılır, iç harç konur ve kapatılır. Fırında pişirilerek sıcak servis edilir.",15,20,35,4.0,Orta,Hayır,Hayır,orta,Glütenli,Fırın
Dolma,Türk Mutfağı – Zeytinyağlı,İzmir,"biber, pirinç, soğan, kuşüzümü, zeytinyağı",Biberler iç harçla doldurulur. Tencereye dizilip zeytinyağı ve su eklenerek pişirilir. Soğuk servis edilir.,31,20,51,4.0,Orta,Evet,Evet,"orta, vegan, zeytinyağlı",Glütensiz,Tencere
Shakshuka,İsrail Mutfağı – Kahvaltı,Tel Aviv,"yumurta, domates, biber, soğan, zeytinyağı","Sebzeler kavrulur, domates sos yapılır. Yumurtalar kırılıp pişirilir. Tavada sıcak şekilde servis edilir.",13,5,18,4.0,Kolay,Evet,Hayır,"hızlı, kolay, vejetaryen",Glütensiz,Tava
Goulash,Macar Mutfağı – Ana Yemek,Budapeşte,"dana eti, soğan, kırmızı biber, patates, havuç","Et ve sebzeler kavrulur. Kırmızı biber eklenir, suyla pişirilir. Çorba kıvamında sunulur.",37,30,67,6.0,Zor,Hayır,Hayır,"uzun süreli, zor, kalabalık aileye uygun",Glütensiz,Tencere
Couscous,Fas Mutfağı – Garnitür,Fes,"kuskus, sebze suyu, havuç, kabak, nohut",Kuskus sebze suyunda pişirilir. Sebzelerle karıştırılarak ana yemek yanında garnitür olarak sunulur.,11,5,16,4.0,Orta,Evet,Evet,"hızlı, orta, vegan",Glütensiz,Tencere
Tamales,Meksika Mutfağı – Ana Yemek,Mexico City,"mısır unu, et, biber, mısır yaprağı, baharat","Hamur mısır yaprağına yayılır, ortasına etli harç konur. Sarılır ve buharda pişirilerek servis edilir.",24,30,54,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tencere
Poutine,Kanada Mutfağı – Atıştırmalık,Quebec,"patates kızartması, gravy sos, peynir",Patatesler kızartılır. Üzerine peynir eklenir ve sıcak gravy sos dökülerek servis edilir.,6,0,6,2.0,Orta,Evet,Hayır,"hızlı, orta, tek/çift kişilik, vejetaryen, atıştırmalık, az malzemeli",Glütensiz,Tava
Bulgogi,Kore Mutfağı – Ana Yemek,Seul,"sığır eti, soya sosu, susam yağı, sarımsak, şeker",Et ince dilimlenip marine edilir. Tavada sotelenir. Pirinç ve sebzelerle birlikte servis edilir.,33,30,63,6.0,Orta,Hayır,Hayır,"uzun süreli, orta, kalabalık aileye uygun",Glütensiz,Tava
Shchi,Rus Mutfağı – Çorba,St. Petersburg,"lahana, et suyu, havuç, patates, soğan","Sebzeler doğranır, et suyunda yumuşayana kadar pişirilir. Sıcak olarak sunulur.",22,15,37,4.0,Orta,Hayır,Hayır,"orta, çorba",Glütensiz,Tencere
Bamya,Türk Mutfağı – Ana Yemek,Konya,"bamya, domates, soğan, limon suyu, zeytinyağı","Soğan kavrulur, üzerine doğranmış bamya ve domates eklenir. Limon suyu ve su ilave edilip pişirilir.",29,30,59,4.0,Orta,Evet,Evet,"orta, vegan",Glütensiz,Tencere
Croissant,Fransız Mutfağı – Kahvaltı,Paris,"un, tereyağı, süt, maya, şeker",Hamur kat kat açılır ve tereyağı ile yoğrulur. Şekil verilerek fırında altın rengi alana kadar pişirilir.,12,5,17,6.0,Kolay,Evet,Hayır,"hızlı, kolay, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
İçli Köfte,Türk Mutfağı – Meze,Adana,"ince bulgur, kıyma, soğan, ceviz, baharat","Dışı bulgurla hazırlanan hamur, içi kıymalı harçla doldurulur. Kızartılarak veya haşlanarak servis edilir.",15,5,20,2.0,Kolay,Hayır,Hayır,"hızlı, kolay, tek/çift kişilik, meze",Glütenli,Tencere
Yaprak Sarma,Türk Mutfağı – Zeytinyağlı,Tokat,"asma yaprağı, pirinç, soğan, kuşüzümü, zeytinyağı",Yapraklar pirinçli iç harçla sarılır. Tencereye dizilip zeytinyağı ve suyla pişirilir.,22,20,42,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan, zeytinyağlı",Glütensiz,Tencere
Fufu,Nijerya Mutfağı – Garnitür,Lagos,"manyok, un, su",Manyok haşlanıp püre haline getirilir. Su ve unla yoğrularak elastik kıvama getirilir. Çorbalara eşlik eder.,14,5,19,6.0,Zor,Evet,Evet,"hızlı, zor, kalabalık aileye uygun, vegan, az malzemeli",Glütenli,Tencere
Clam Chowder,Amerikan Mutfağı – Çorba,Boston,"midye, patates, krema, soğan, süt","Soğan kavrulur, midye ve patatesle birlikte pişirilir. Krema ve süt eklenerek koyu kıvamlı çorba hazırlanır.",18,15,33,4.0,Orta,Evet,Hayır,"orta, vejetaryen, çorba",Glütensiz,Tencere
Currywurst,Alman Mutfağı – Atıştırmalık,Berlin,"sosis, ketçap, köri tozu, patates","Sosisler kızartılır, üzerine köri sos (ketçap + köri tozu) dökülür. Patates kızartmasıyla servis edilir.",5,0,5,2.0,Orta,Hayır,Hayır,"hızlı, orta, tek/çift kişilik, atıştırmalık",Glütensiz,Tava
Pav Bhaji,Hint Mutfağı – Sokak Yemeği,Mumbai,"patates, domates, bezelye, soğan, tereyağı, baharatlar",Sebzeler ezilip baharatlarla pişirilir. Tereyağlı ekmekle birlikte sıcak olarak sunulur.,22,20,42,6.0,Zor,Evet,Hayır,"zor, kalabalık aileye uygun, vejetaryen",Glütensiz,Tencere
Okonomiyaki,Japon Mutfağı – Ana Yemek,Osaka,"lahana, un, yumurta, yeşillik, sos","Malzemeler karıştırılır, tavada omlet gibi pişirilir. Üzerine özel sos ve yeşillik eklenir.",34,30,64,4.0,Orta,Evet,Hayır,"uzun süreli, orta, vejetaryen",Glütenli,Tava
Şakşuka,Türk Mutfağı – Meze,Balıkesir,"patlıcan, domates, biber, sarımsak, zeytinyağı",Sebzeler ayrı ayrı kızartılır. Domatesli sos hazırlanır ve hepsi birleştirilir. Soğuk servis edilir.,14,5,19,2.0,Kolay,Evet,Evet,"hızlı, kolay, tek/çift kişilik, vegan, meze",Glütensiz,Tava
Menemen,Türk Mutfağı – Kahvaltı,İzmir,"yumurta, domates, biber, zeytinyağı","Biber ve domates sotelenir, yumurtalar kırılıp karıştırılır. Sıcak servis edilir.",15,5,20,6.0,Kolay,Evet,Hayır,"hızlı, kolay, kalabalık aileye uygun, vejetaryen",Glütensiz,Tava
Ramen,Japon Mutfağı – Çorba,Tokyo,"ramen eriştesi, et suyu, yumurta, yeşillik, soya sosu","Et suyu hazırlanır, erişte haşlanır. Tabağa erişte konur, üzerine et suyu ve malzemeler eklenir.",24,15,39,4.0,Orta,Hayır,Hayır,"orta, çorba",Glütenli,Tencere
Kumpir,Türk Mutfağı – Atıştırmalık,İstanbul,"patates, kaşar peyniri, sosis, mısır, zeytin, rus salatası","Patates fırında pişirilir, içi ezilir. Kaşar ile karıştırılır, üzerine çeşitli garnitürler eklenir.",6,0,6,2.0,Orta,Hayır,Hayır,"hızlı, orta, tek/çift kişilik, atıştırmalık",Glütensiz,Fırın
Mac and Cheese,Amerikan Mutfağı – Ana Yemek,New York,"makarna, süt, tereyağı, un, cheddar peyniri",Makarna haşlanır. Beşamel sos yapılır ve peynirle karıştırılır. Fırında kızarana kadar pişirilir.,38,30,68,6.0,Orta,Evet,Hayır,"uzun süreli, orta, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
Paçanga Böreği,Türk Mutfağı – Ara Sıcak,Edirne,"yufka, pastırma, kaşar peyniri, domates, biber","Yufkaya malzemeler konur, sarılıp kızgın yağda kızartılır. Sıcak servis edilir.",24,20,44,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütenli,Tava
Koshari,Mısır Mutfağı – Ana Yemek,Kahire,"makarna, pirinç, mercimek, domates sosu, soğan",Malzemeler ayrı ayrı haşlanır. Üzerine domates sosu ve kızarmış soğan eklenerek servis edilir.,28,30,58,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütenli,Tencere
Beef Wellington,İngiliz Mutfağı – Ana Yemek,Londra,"dana fileto, mantar, milföy hamuru, yumurta","Dana fileto mantarlı harçla sarılır, milföy hamuruna sarılıp fırında pişirilir. Şık sunumlu bir ana yemektir.",35,30,65,6.0,Orta,Hayır,Hayır,"uzun süreli, orta, kalabalık aileye uygun",Glütenli,Fırın
Tteokbokki,Kore Mutfağı – Atıştırmalık,Seul,"pirinç keki, acı biber salçası, soya sosu, yeşil soğan","Pirinç kekleri acı sosla haşlanır, yeşil soğan eklenerek sıcak servis edilir.",9,0,9,2.0,Orta,Evet,Evet,"hızlı, orta, tek/çift kişilik, vegan, atıştırmalık",Glütensiz,Tencere
Chana Masala,Hint Mutfağı – Vejetaryen,Delhi,"nohut, domates, soğan, garam masala, sarımsak",Nohutlar baharatlı domates sosunda pişirilir. Pirinçle veya naan ekmeğiyle servis edilir.,25,20,45,4.0,Orta,Evet,Evet,"orta, vegan",Glütensiz,Tencere
